Scientific Name,English Name,Spanish Name,Hebrew Name,Light,Soil,Soil Airiness,Soil pH,Soil Moisture,Watering,Water Amount,Fertilizer/Feeding,Pot Size,Location,Sun Type,Sun Strength
Epipremnum aureum,Pothos,Potus,,Indirect Light,"Well-draining, rich",Airy,,Let dry between,"Biweekly, reduced in cold seasons",Moderate,Monthly/spring-summer,,Living Room,Indirect,
Pachira aquatica,Money Tree,,,Bright Indirect,Well-draining,,,Let dry between,"Regular, do not overwater",Moderate,"Regular, not excessive",,Office,Indirect,
Ficus amstel,Ficus Amstel King,Ficus,,Indirect Light,Well-draining,,,Let dry 2-3 cm,"Moderate, less in winter",Moderate,"Biweekly growth, rare in winter",,Living Room,Indirect,
Calluna vulgaris,Heather,Brezo,,"Bright, partial shade",Well-drained acidic (slightly acidic),Airy,Acid,"Keep moist, not soggy","Water regularly, let dry roughly",Moderate,Spring/summer fertilizer,,Living Room,Indirect,
Erica capensis,Cape Heath,Brezo,,"Bright, partial shade",Well-drained acidic,Airy,Acid,"Moist, well-drained",Water sparingly in winter,,Acid-loving feed,,Living Room,Indirect,
Hedera helix,English Ivy,Hiedra,קיסוס,Partial to bright indirect,"Chalk, clay, loam, sand",Airy,Acid/Alk/Neutral,Moist but well-drained,Average,Low to moderate,,Parents' Bedroom,Indirect,,
Spathiphyllum,Peace Lily,Lirio de la paz,שושן השלום,Indirect Light,"Moist, well-drained",Airy,,"Moist, not soggy",Water when top dries,Moderate,"Monthly, more in growing season",,Parents' Bedroom,Indirect,
Sansevieria,Snake Plant,Lengua de suegra,צמח הנחש,Direct/Indirect,"Well-drained, gritty",Airy,Neutral/Alk,Allow to dry,Water sparingly,Little,"Rare, diluted feed",,Parents' Bedroom,Indirect,
Calathea ornata,Calathea,Calatea,,Indirect Light,"Well-draining, rich",Airy,Acid,"Moist, not soggy","Water regularly, filtered water",Moderate,Feed monthly spring/summer,,Dining Room,Indirect,
Fittonia,Nerve Plant,Fittonia,,Indirect Light,Well-drained,Airy,Acid,"Moist, not soggy",Water regularly,Small,"Half strength, monthly",,Dining Room,Indirect,
Maranta leuconeura,Prayer Plant,Maranta,,Indirect Light,"Well-draining, humus",Airy,Acid,"Moist, not soggy",Water regularly,Moderate,Monthly during growth,,Dining Room,Indirect,
Jasminum,Star Jasmine,Jazmín,,Direct/Indirect,Well-drained,Airy,,Moist,Water when dry,Moderate,Feed monthly in growth,,Small Balcony,Direct,
Citrus sinensis?,Orange,Naranja,תפוז,Direct Sun,"Well-drained, sandy",Airy,Acid,Moist,"Frequent, avoid dryness",Moderate,Citrus food during active growth,,Small Balcony,Direct,
Ribes rubrum,Grosello rojo Jonkheer,Grosella roja,,Direct Sun,Well-draining,Airy,Acid,Moist,Regular,Moderate,Feed before and after fruiting,,Small Balcony,Direct,
Acer palmatum,Japanese Maple,Arce japonés palmeado,קיסוס,Partial to full sun,"Moist, acidic, rich",Airy,Acid,Moist,Water as needed,Moderate,Slow-release feed,,Big Balcony,Direct,
Juniperus,Blue Juniper,Enebro azul,ערער,Direct Sun,Well-drained,Airy,Acid/Neutral,Dry to moist,Drought tolerant,Low,Fertilize only if growth weak,,Big Balcony,Direct,
Photinia x fraseri,Red Tip Photinia,Fotinia roja,,Full Sun,Well-drained,Airy,Neutral,Moist,Regular watering,Moderate,Spring fertilization,,Big Balcony,Direct,
Origanum vulgare,Oregano,Orégano,אורגנו,Full Sun,Well-drained,Airy,Neutral,Dry,Drought tolerant,Low,Light monthly feed,,Big Balcony,Direct,
Allium schoenoprasum,Chives,Ciboulette,עירית,Full Sun,Well-drained,Airy,Neutral,Moist,Regular,Moderate,Moderate monthly,,Big Balcony,Direct,
Ocimum basilicum,Basil,Albahaca,בזיליקום,Full Sun,"Well-drained, rich",Airy,Neutral,Moist,Water often,Moderate,Feed every two weeks,,Big Balcony,Direct,
Bougainvillea,Bougainvillea,Bugambilia,בונגוביליה,Full Sun,Well-drained sandy,Airy,,Dry between,Infrequent,Moderate,"Low fertilizer, spring",,Big Balcony,Direct,
Capsicum annuum,Red Pepper,Pimiento rojo,פלפל אדום,Full Sun,"Well-drained, sandy",Airy,Neutral,Moist,Water when dry,Moderate,Tomato feed during fruiting,,Big Balcony,Direct,
Maranta leuconeura,Prayer Plant,Maranta,,"Bright, indirect","Well-drained, organic",Airy,Acid,"Keep moist, not wet",Room temp water when top inch dries,Moderate,"2-4 weeks, spring-autumn",,Dining Room,Indirect,
